t_s,roll_deg,pitch_deg,yaw_deg
0.001,1.0091,-0.0192,-0.0017
0.104,0.0332,-0.0030,0.0000
0.209,0.0332,-0.0030,0.0000
0.315,0.0332,-0.0030,0.0000
0.420,0.0332,-0.0030,0.0000
0.523,0.0332,-0.0030,0.0000
0.629,0.0332,-0.0030,0.0000
0.732,0.0332,-0.0030,0.0000
0.834,0.0332,-0.0030,0.0000
0.939,0.0332,-0.0030,0.0000
1.041,0.0332,-0.0030,0.0000
1.146,0.0332,-0.0030,0.0000
1.252,0.0332,-0.0030,0.0000
1.355,0.0332,-0.0030,0.0000
1.461,0.0332,-0.0030,0.0000
1.567,0.0332,-0.0030,0.0000
1.671,0.0411,-0.0060,0.0000
1.774,0.0396,-0.0059,0.0000
1.878,0.0301,-0.0050,0.0000
1.984,0.0199,-0.0041,0.0000
2.090,0.0123,-0.0034,-0.0000
2.192,0.0085,-0.0031,-0.0000
2.298,0.0085,-0.0031,-0.0000
2.401,0.0085,-0.0031,-0.0000
2.505,0.0085,-0.0031,-0.0000
2.611,0.0085,-0.0031,-0.0000
2.713,0.0085,-0.0031,-0.0000
2.819,0.0085,-0.0031,-0.0000
2.924,0.0085,-0.0031,-0.0000
3.028,0.0085,-0.0031,-0.0000
3.133,0.0085,-0.0031,-0.0000
3.235,0.0085,-0.0031,-0.0000
3.339,0.0085,-0.0031,-0.0000
3.444,0.0085,-0.0031,-0.0000
3.550,0.0085,-0.0031,-0.0000
3.653,0.0085,-0.0031,-0.0000
3.759,0.0085,-0.0031,-0.0000
3.865,0.0085,-0.0031,-0.0000
3.969,0.0085,-0.0031,-0.0000
4.074,0.0085,-0.0031,-0.0000
4.177,0.0085,-0.0031,-0.0000
4.282,0.0085,-0.0031,-0.0000
4.385,0.0085,-0.0031,-0.0000
4.490,0.0085,-0.0031,-0.0000
4.593,0.0085,-0.0031,-0.0000
4.697,0.0085,-0.0031,-0.0000
4.802,0.0085,-0.0031,-0.0000
4.904,0.0085,-0.0031,-0.0000
5.007,0.0085,-0.0031,-0.0000
5.112,0.0085,-0.0031,-0.0000
5.214,0.0085,-0.0031,-0.0000
5.318,0.0085,-0.0031,-0.0000
5.423,0.0085,-0.0031,-0.0000
5.526,0.0085,-0.0031,-0.0000
5.627,0.0085,-0.0031,-0.0000
5.729,0.0085,-0.0031,-0.0000
5.831,0.0085,-0.0031,-0.0000
5.932,0.0085,-0.0031,-0.0000
6.037,0.0085,-0.0031,-0.0000
6.139,0.0085,-0.0031,-0.0000
6.241,0.0085,-0.0031,-0.0000
6.345,0.0163,-0.0059,-0.4621
6.447,0.0140,-0.0040,-4.7979
6.551,0.0108,-0.0017,-10.3023
6.654,0.0085,-0.0002,-14.1380
6.758,0.0080,0.0001,-14.9987
6.861,0.0156,-0.0001,-14.2797
6.966,0.0135,-0.0012,-10.1279
7.072,0.0109,-0.0023,-5.2582
7.174,0.0084,-0.0030,-0.6329
7.280,0.0081,-0.0030,-0.0006
7.384,0.0081,-0.0030,-0.0006
7.490,0.0081,-0.0030,-0.0006
7.596,0.0081,-0.0030,-0.0006
7.701,0.0081,-0.0030,-0.0006
7.807,0.0081,-0.0030,-0.0006
7.911,0.0081,-0.0030,-0.0006
8.015,0.0081,-0.0030,-0.0006
8.120,0.0081,-0.0030,-0.0006
8.225,0.0081,-0.0030,-0.0006
8.327,0.0081,-0.0030,-0.0006
8.433,0.0081,-0.0030,-0.0006
8.539,0.0081,-0.0030,-0.0006
8.644,0.0081,-0.0030,-0.0006
8.746,0.0081,-0.0030,-0.0006
8.848,0.0081,-0.0030,-0.0006
8.951,0.0081,-0.0030,-0.0006
9.057,0.0081,-0.0030,-0.0006
9.160,0.0081,-0.0030,-0.0006
9.266,0.0081,-0.0030,-0.0006
9.371,0.0161,-0.0060,-0.0006
